global_factor,local_factor,v_max,mutation_rate,crossover_rate,best_ind,avg_ind,fitness_calls,total_time
2.25,3.5,7.75,0.2,0.7,0.644,0.545,203,125.795
2.25,3.5,7.75,0.2,0.9,0.644,0.554,203,124.63
2.25,3.5,7.75,0.2,1.0,0.644,0.554,203,124.085
2.25,3.5,7.75,0.4,0.5,0.644,0.541,203,124.429
2.25,3.5,7.75,0.4,0.7,0.644,0.526,201,124.621
2.25,3.5,7.75,0.4,0.9,0.644,0.535,203,124.318
2.25,3.5,7.75,0.4,1.0,0.644,0.553,201,124.398
2.25,3.5,7.75,0.6,0.5,0.644,0.547,201,125.084
2.25,3.5,7.75,0.6,0.7,0.644,0.549,203,124.194
2.25,3.5,7.75,0.6,0.9,0.644,0.554,203,124.706
2.25,3.5,7.75,0.6,1.0,0.644,0.552,203,124.521
2.25,3.5,7.75,0.8,0.5,0.644,0.55,203,125.712
2.25,3.5,7.75,0.8,0.7,0.644,0.537,201,126.052
2.25,3.5,7.75,0.8,0.9,0.644,0.546,203,124.628
2.25,3.5,7.75,0.8,1.0,0.644,0.547,203,124.354
2.25,3.5,10.0,0.2,0.5,0.644,0.55,203,124.296
2.25,3.5,10.0,0.2,0.7,0.644,0.537,203,124.825
2.25,3.5,10.0,0.2,0.9,0.644,0.543,203,125.315
2.25,3.5,10.0,0.2,1.0,0.644,0.552,203,124.873
2.25,3.5,10.0,0.4,0.5,0.644,0.549,203,124.522
2.25,3.5,10.0,0.4,0.7,0.644,0.533,203,125.024
2.25,3.5,10.0,0.4,0.9,0.644,0.533,203,124.952
2.25,3.5,10.0,0.4,1.0,0.644,0.549,203,124.573
2.25,3.5,10.0,0.6,0.5,0.644,0.551,203,124.797
2.25,3.5,10.0,0.6,0.7,0.644,0.536,203,125.414
2.25,3.5,10.0,0.6,0.9,0.644,0.543,203,125.346
2.25,3.5,10.0,0.6,1.0,0.644,0.539,201,124.599
2.25,3.5,10.0,0.8,0.5,0.644,0.549,203,124.852
2.25,3.5,10.0,0.8,0.7,0.644,0.545,203,125.036
2.25,3.5,10.0,0.8,0.9,0.644,0.544,203,124.974
2.25,3.5,10.0,0.8,1.0,0.644,0.535,203,125.165
3.5,3.5,5.5,0.2,0.5,0.644,0.559,201,122.625
3.5,3.5,5.5,0.2,0.7,0.644,0.561,203,122.794
3.5,3.5,5.5,0.2,0.9,0.644,0.557,203,122.357
3.5,3.5,5.5,0.2,1.0,0.644,0.564,203,123.052
3.5,3.5,5.5,0.4,0.5,0.644,0.554,203,122.924
3.5,3.5,5.5,0.4,0.7,0.644,0.558,201,123.038
3.5,3.5,5.5,0.4,0.9,0.644,0.562,203,123.21
3.5,3.5,5.5,0.4,1.0,0.644,0.519,203,122.594
3.5,3.5,5.5,0.6,0.5,0.643,0.556,203,122.51
3.5,3.5,5.5,0.6,0.7,0.644,0.562,203,122.027
3.5,3.5,5.5,0.6,0.9,0.644,0.557,203,123.039
3.5,3.5,5.5,0.6,1.0,0.644,0.566,203,122.765
3.5,3.5,5.5,0.8,0.5,0.644,0.564,203,122.515
3.5,3.5,5.5,0.8,0.7,0.644,0.561,203,122.059
3.5,3.5,5.5,0.8,0.9,0.644,0.551,203,123.798
3.5,3.5,5.5,0.8,1.0,0.644,0.571,203,122.847
3.5,3.5,7.75,0.2,0.5,0.643,0.551,191,123.146
3.5,3.5,7.75,0.2,0.7,0.644,0.546,203,123.791
3.5,3.5,7.75,0.2,0.9,0.644,0.551,203,123.514
3.5,3.5,7.75,0.2,1.0,0.644,0.555,199,124.054
3.5,3.5,7.75,0.4,0.5,0.644,0.555,203,123.764
3.5,3.5,7.75,0.4,0.7,0.644,0.539,201,123.755
3.5,3.5,7.75,0.4,0.9,0.644,0.546,201,123.639
3.5,3.5,7.75,0.4,1.0,0.644,0.546,203,123.927
3.5,3.5,7.75,0.6,0.5,0.644,0.554,203,123.488
3.5,3.5,7.75,0.6,0.7,0.644,0.54,203,124.351
3.5,3.5,7.75,0.6,0.9,0.644,0.543,203,124.051
3.5,3.5,7.75,0.6,1.0,0.644,0.544,203,124.205
3.5,3.5,7.75,0.8,0.5,0.643,0.554,203,122.999
3.5,3.5,7.75,0.8,0.7,0.644,0.543,201,123.897
3.5,3.5,7.75,0.8,0.9,0.644,0.539,203,123.158
3.5,3.5,7.75,0.8,1.0,0.644,0.539,201,124.752
3.5,3.5,10.0,0.2,0.5,0.644,0.55,201,123.468
3.5,3.5,10.0,0.2,0.7,0.644,0.525,161,123.895
3.5,3.5,10.0,0.2,0.9,0.644,0.545,203,124.322
3.5,3.5,10.0,0.2,1.0,0.644,0.563,203,123.405
3.5,3.5,10.0,0.4,0.5,0.642,0.5,201,124.585
3.5,3.5,10.0,0.4,0.7,0.644,0.557,203,123.076
3.5,3.5,10.0,0.4,0.9,0.644,0.559,193,124.179
3.5,3.5,10.0,0.4,1.0,0.644,0.546,203,123.484
3.5,3.5,10.0,0.6,0.5,0.643,0.548,203,124.667
3.5,3.5,10.0,0.6,0.7,0.644,0.545,203,124.296
3.5,3.5,10.0,0.6,0.9,0.644,0.549,203,123.818
3.5,3.5,10.0,0.6,1.0,0.644,0.558,203,123.858
3.5,3.5,10.0,0.8,0.5,0.643,0.54,203,124.233
3.5,3.5,10.0,0.8,0.7,0.644,0.551,203,123.481
3.5,3.5,10.0,0.8,0.9,0.644,0.539,203,124.652
3.5,3.5,10.0,0.8,1.0,0.644,0.562,203,124.019
